,osm_id,highway,length,geometry
12169,24633993,cycleway,294.196254541096,"SRID=3857;LINESTRING(910183.66 7013369.97,910194.9 7013367.94,910235.44 7013360.72,910297.64 7013337.84,910329.52 7013332.4,910346.85 7013328.71,910357.48 7013335.69,910431.36 7013383.41,910455.88 7013385.32)"
13501,23038347,cycleway,211.539545305489,"SRID=3857;LINESTRING(913583.9 7013899.48,913600.8 7013884.35,913631.69 7013850.57,913655.61 7013788.72,913673.76 7013741.8,913683.3 7013717.12)"
6147,24537556,cycleway,52.1080679700086,"SRID=3857;LINESTRING(916482.88 7003033.88,916495.39 7003000.2,916503.2 7002986.03)"
9935,28417168,cycleway,27.3879699082756,"SRID=3857;LINESTRING(914453.24 7007711.38,914453.5 7007704.39,914467.86 7007689.91)"
20252,25372104,cycleway,111.643072680954,"SRID=3857;LINESTRING(916550.85 7018189.46,916597.24 7018208.66,916655.5 7018228.16)"
12101,27737262,cycleway,84.0113374288898,"SRID=3857;LINESTRING(912166.31 7012468.45,912232.25 7012509.6,912237.7 7012512.73)"
20250,26685796,cycleway,64.3445341402139,"SRID=3857;LINESTRING(916435.3 7018292.58,916436.32 7018276.45,916436.7 7018270.17,916428.3 7018229.13)"
18808,23224750,cycleway,312.848887799304,"SRID=3857;LINESTRING(914208.97 7015724.87,914315.12 7015430.58)"
6159,22914315,cycleway,183.664185870434,"SRID=3857;LINESTRING(916110.94 7003593.07,916128.88 7003599.02,916142.06 7003647.57,916178.59 7003756.04)"
6173,23905196,cycleway,129.298378950957,"SRID=3857;LINESTRING(916488.82 7003892.78,916486.64 7004022.06)"
4857,24834786,cycleway,69.718752491084,"SRID=3857;LINESTRING(916935.43 7000044.84,916882.88 7000052.72,916866.97 7000057.39)"
13519,270839946,cycleway,557.275536651668,"SRID=3857;LINESTRING(913887.43 7014248.25,913902.62 7014226.31,913917.85 7014191.8,913920.82 7014157.13,913911.32 7014133.64,913899.02 7014113.03,913881.19 7014093.7,913851.45 7014090.73,913831.64 7014084.79,913820.73 7014071.9,913809.83 7014050.1,913795.96 7014037.21,913782.09 7014026.31,913758.3 7014011.87999999,913743.47 7014011.1,913726.28 7014012.57,913690.02 7014011.47,913680.95 7014010.29,913675.12 7014004.75,913662.09 7013980.2,913646.33 7013957.94,913617.58 7013929.21,913594.07 7013908.45,913583.9 7013899.48)"
4222,86028873,cycleway,31.3988168569384,"SRID=3857;LINESTRING(912372.9 7006865.13,912390.34 7006839.02)"
9920,27046694,cycleway,65.74705139279,"SRID=3857;LINESTRING(914573.63 7007191.94,914585.68 7007143.07,914597.46 7007133.13)"
12171,183553136,cycleway,31.7197540986051,"SRID=3857;LINESTRING(910455.76 7013233.21,910482.74 7013249.89)"
580,24257563,cycleway,128.580915589449,"SRID=3857;LINESTRING(907336.13 7009940.05,907355.52 7009941.67,907389.16 7009945.42,907422.8 7009948.05,907443.49 7009947.05,907464.29 7009946.18)"
20268,25564979,cycleway,50.2239474755102,"SRID=3857;LINESTRING(917081.75 7017284.31,917061.75 7017330.38)"
